Class,Gender,Age,Survived,Family
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,,2
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,40
1st,adult,male,yes,100
1st,adult,adult,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,
1st,adult,male,yes,
1st,adult,male,yes,2
1,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,22
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,44
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,1,1
1st,adult,male,yes,1
1st,adult,male,yes,11
1st,adult,male,yes,1
1st,adult,male,yes,
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,yes,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,111
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,2,1
1st,adult,male,no,11
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,222
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,22
1st,adult,male,2,1
1st,adult,male,no,2
1st,adult,male,no,3
,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,no,no,2
1st,adult,male,2,yes
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,
1st,adult,male,no,
