@relation titanic

@attribute Class{1st,2nd,3rd}
@attribute Age {adult,child}
@attribute Gender {female,male}
@attribute Survive {yes,no}
@attribute Family real

@data
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",3
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",3
"1st","adult","male","yes",4
"1st","adult","male","yes",4
"1st","adult","male","yes",2
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",3
"1st","adult","male","yes",3
"1st","adult","male","yes",3
"1st","adult","male","yes",3
"1st","adult","male","yes",4
"1st","adult","male","yes",4
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",2
"1st","adult","male","yes",3
"1st","adult","male","yes",3
"1st","adult","male","yes",3
"1st","adult","male","yes",4
"1st","adult","male","yes",4
"1st","adult","male","yes",4
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","yes",2
"1st","adult","male","yes",3
"1st","adult","male","yes",4
"1st","adult","male","yes",3
"1st","adult","male","yes",2
"1st","adult","male","yes",1
"1st","adult","male","yes",2
"1st","adult","male","yes",1
"1st","adult","male","yes",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",3
"1st","adult","male","no",2
"1st","adult","male","no",2
"1st","adult","male","no",1
"1st","adult","male","no",1
"1st","adult","male","no",1
"3rd","adult","male","no",1
