Class,Age,Gender,Survived,Family
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,4
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,3
1st,adult,male,yes,4
1st,adult,male,yes,3
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,2
1st,adult,male,yes,1
1st,adult,male,yes,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,3
1st,adult,male,no,2
1st,adult,male,no,2
1st,adult,male,no,1
1st,adult,male,no,1
1st,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,1
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
3rd,adult,male,no,2
